,Title,Price,CPU Model,Style,Memory Storage Capacity,Switch Type,Brand,Average Battery Life (in hours),Data Transfer Rate,Manufacturer,Contact Type,Processor,Hard Drive,CPU Speed,Cover Material,Graphics Coprocessor,Domestic Shipping,Keyboard layout,Country of Origin,Series,Special Features,Item model number,Special Feature,Connectivity technologies,ASIN,Generation,Model Name,Screen Resolution,Theme,Material,Ink Color,Max Screen Resolution,Best Sellers Rank,Standing screen display size,International Shipping,Package Dimensions,Current Rating,Size,Operating Voltage,Date First Available,Cable Type,Hard Disk Size,Item Weight,Batteries,Department,Wireless Type,Material Type,Hardware Interface,Product Dimensions,Color,Number of USB 3.0 Ports,Screen Size,Item Thickness,Form Factor,RAM,Number of Keys,Connector Gender,Connector Type,Compatible Devices,Operation Mode,Manufacturer Part Number,Number of Buttons,Number of USB 2.0 Ports,Voltage,Ram Memory Installed Size,Keyboard Description,Operating System,Keyboard backlighting color support,Included Components,Water Resistance Level,Power Source,Customer Reviews,Language,Terminal,Chipset Brand,Is Discontinued By Manufacturer,Hardware Platform,Other display features,Number of Ports,Item Dimensions LxWxH,Connectivity Technology,Card Description
177,"HyperX Alloy Elite 2 – Mechanical Gaming Keyboard, Software-Controlled Light & Macro Customization, ABS Pudding Keycaps, Media Controls, RGB LED Backlit, Linear Switch, HyperX Red",99,,Keyboard,,,HyperX,,,,,,,,,,,,,Alloy Elite 2,,,Travel,,,,,,,,,,"#1,639 in Video Games (See Top 100 in Video Games)
#103 in PC Gaming Keyboards",75,,,,,,,,,,,,,,,,Black,,,,,,104,,,Gaming Console,,,,,,,Gaming,,,,,,"944 ratings
4.8 out of 5 stars",,,,,,,,17.5 x 6.9 x 1.5 inches,USB,
178,"Wireless Keyboard, EDJO 2.4G Ergonomic Full Size Wireless Computer Keyboard with Wrist Rest for Windows, Mac OS Desktop/Laptop/PC（Black）",22,,经典的,,,EDJO,,,EDJO,,,,,,,,,China,,,TK577G-CK211,"Wireless, Foldable, Wrist Support",,B095VM6J1R,,CK211,,,,,,#32 in Computer Keyboards,,,,,,,"May 26, 2021",,,1.23 pounds,,,,,,17.52 x 7.35 x 0.91 inches,Black,,,,,,104,,,"Linux, Windows, Mac",,,,,,,Ergonomic,,,Keyboard and USB Receiver,,,"498 ratings
4.3 out of 5 stars",,,,No,,,,,Wireless,
179,Dell Premier Multi-Device Wireless Keyboard and Mouse - KM7321W,79,,,,,Dell,,,Dell Technologies,,,,,,,,,,Premier,,KM7321W,"Full-size Keyboard, Adjustable Tilt, Programmable Keys, Slim, Battery Indicator",,B08WNWS3HS,,,,,,,,#21 in Computer Keyboard & Mouse Combos,,,,,,,"February 15, 2021",,,2.88 ounces,2 AAA batteries required. (included),,,,,1.6 x 2.7 x 4.5 inches,,,,,,,,,,,,,,,,,,,,,,Battery Powered,"366 ratings
4.6 out of 5 stars",,,,,"Linux, Chrome OS, Windows",,,1.6 x 2.7 x 4.5 inches,"Bluetooth, USB",
180,Logitech G413 Backlit Mechanical Gaming Keyboard with USB Passthrough – Carbon,47,,G413 Carbon,,,Logitech G,,,Logitech,,,,,,,,,,920-008300,,920-008300,Lighting,,B06XR5MWGM,,,,,,,,"#838 in Video Games (See Top 100 in Video Games)
#48 in PC Gaming Keyboards",,,,,,,"April 6, 2017",,,2.43 pounds,2 AA batteries required.,Keyboard,,,,1.4 x 17.5 x 5.1 inches,Carbon,,,,,,,,,Gaming Console,,,,,,,Gaming,,,Keyboard: quick start user guide,,,"2,691 ratings
4.6 out of 5 stars",,,,No,PC,,,1.4 x 17.5 x 5.1 inches,USB Type A (corded) USB Protocol: USB… See more,
181,"Apple Magic Keyboard for iPad Pro 12.9-inch (5th, 4th and 3rd Generation) - US English - Black",349,,US English,,,Apple,,,,,,,,,,,,,,,,"Ergonomic, Backlit, Foldable",,,,IPad Magic Keyboard,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,64,,,"IPad Pro 12.9-inch (5th generation), IPad Pro 12.9-inch (4th generation), IPad Pro 12.9-inch (3rd generation) See more",,,,,,,"Flexible, Integrated, Gaming, Mechanical, Multi Functinoal, Multimedia, Wireless",,Single Color,,,,,,,,,,,,,"Bluetooth, Magnetic, Smart Connector",
182,"Logitech G613 LIGHTSPEED Wireless Mechanical Gaming Keyboard, Multihost 2.4 GHz + Blutooth Connectivity - Black",69,,Keyboard,,,Logitech G,,,,,,,,,,,,,G613,,,"Wireless, Bluetooth",,,,,,,,,,"#275 in Video Games (See Top 100 in Video Games)
#2 in Mac Gaming Keyboards
#2 in GEM Box Microconsole
#6 in PC Gaming Keyboards",,,,,,,,,,,,,"Bluetooth, 2.4 GHz Radio Frequency",,,,Black,,,,,,104,,,Gaming Console,,,,,,,Gaming,,,"Phone stand, User documentation,… See more",,,"4,570 ratings
4.5 out of 5 stars",,,,,,,,,Wireless,
183,"TKL Mechanical Gaming Keyboard, E-YOOSO Wired Mechanical Keyboard, 87 Keys Blue Switches Keyboard with Blue Backlit & RGB LED Sidelight, Water-Resistant Gaming Keyboard for PC, MAC, PS4 Gamer",26,,,,,E-YOOSO,,,E-YOOSO,,,,,,,,,,,,FBA-K620,人体工程学,,B07X8DZQ78,,K620,,,,,,"#3,809 in Video Games (See Top 100 in Video Games)
#263 in PC Gaming Keyboards",,,,,,,"September 2, 2019",,,1.72 pounds,,,,,,14.5 x 6.5 x 1.2 inches,Blue Switch （Black）,,,,,,87,,,"Laptop, PC",,,,,,,Gaming,,Single Color,Keycap_puller,,,"1,463 ratings
4.5 out of 5 stars",,,,No,,,,,USB,
184,"Macally 2.4G Small Wireless Keyboard - Ergonomic & Comfortable Computer Keyboard - Compact Keyboard for Laptop or Windows PC Desktop, Tablet, Smart TV - Plug & Play Mini Keyboard with 12 Hot Keys",22,,"Wireless Computer Keyboard Small, Laptop Keyboard, Compact Keyboard without Number Pad",,,Macally,,,Mace Group Inc / Macally Peripherals,,,,,,,,,China,,,RFCOMPACTKEY,"Small Keyboard Wireless, 2.4G Compact Keyboard",,B07ZRWLL38,,RFCOMPACTKEY,,,,,,#37 in Computer Keyboards,,,12.68 x 6.73 x 1.61 inches,,,,"October 30, 2019",,,10.2 ounces,2 AAA batteries required. (included),,,,,,Black,,,,,,78,,,"Lenovo, Dell, Linux, HP, Microsoft Surface, Acer, Asus, Samsung, Chromebook, Apple, Mac, Razer, MSI, LG See more",,,,,,,"Small Wireless Keyboard, Like a Laptop Keyboard",,,"Wireless Keyboard, Nano Receiver, User Guide",,,"2,094 ratings
4.4 out of 5 stars",,,,,,,,,Wireless,
185,"Snpurdiri Wired 60% Mechanical Gaming Keyboard, Full Anti-Ghosting 61 Key, RGB Backlit Ultra-Compact Blue Switch Double Foot, White",25,,,,,Snpurdiri,,,SnpurTech,,,,,,,,,China,,,,"Ergonomic, Backlit",,B095RBLDKJ,,,,,,,,"#5,056 in Video Games (See Top 100 in Video Games)
#71 in GEM Box Microconsole
#94 in Mac Gaming Keyboards
#372 in PC Gaming Keyboards",,,,,,,"May 25, 2021",,,1.43 pounds,,,,,,13.78 x 3.94 x 1.18 inches,White,,,,,,61,,,PC,,,61,,,,游戏,,,,,,"238 ratings
4.5 out of 5 stars",,,,,,,,13.78 x 3.94 x 1.18 inches,Wired,
186,"COSTOM XVX M84 Wireless/Wired Mechanical Keyboard, Compact 84 Keys Hot Swappable Gaming Keyboard, N-Key Rollover RGB Backlit Custom Keyboard for Windows Mac PC Gamer (Coral Sea, Gateron Yellow Switch)",86,,,,,COSTOM,,,COSTOM,,,,,,,,,,,,,Backlit,,B09Q9BDN16,,,,,,,,"#7,000 in Video Games (See Top 100 in Video Games)
#135 in Mac Gaming Keyboards
#526 in PC Gaming Keyboards",,,12.91 x 6.14 x 1.77 inches,,,,"January 12, 2022",,,2.01 pounds,,,,,,,Gateron Yellow Switch,,,,,,84,,,"Laptop, PC",,,84,,,,Gaming,,,,,,"7 ratings
4.3 out of 5 stars",,,,,,,,,"USB, USB-C",
187,"Mini 60% Gaming Keyboard, RGB Backlit 61 Key Ultra-Compact Keyboard, MageGee TS91 Ergonomic Waterproof Mechanical Feeling Office Computer Keyboard for PC, MAC, PS4, Xbox ONE Gamer(Black)",16,,,,,MageGee,,,MageGee,,,,,,,,,,,,,"Waterproof,Travel",,B08F7GZDT2,,,,,,,,"#1,207 in Video Games (See Top 100 in Video Games)
#53 in Mac Accessories
#75 in PC Gaming Keyboards",,,12.24 x 5.08 x 1.85 inches,,,,"August 4, 2020",,,1.04 pounds,,,,,,,Black,,,,,,61,,,PC,,,61,,,,Gaming,,,,,,"598 ratings
4.3 out of 5 stars",,,,,,,,,Wired,
188,"Wired Keyboard, Macally Plug and Play Computer Keyboard Wired - Slim External Keyboard for Laptop and Desktop - USB Keyboard with 5ft Cable and Numeric Keypad - PC Keyboard for Office and Home - Black",19,,"USB Wired Computer Keyboard, Keyboard Under 20",,,Macally,,,Mace Group Inc / Macally Peripherals,,,,,,,,,China,,,Wired Keyboard,Wired Keyboard,,B07R84PW29,,Wired Keyboard,,,,,,#218 in Computer Keyboards,,,,,,,"May 2, 2019",,,1.03 pounds,,,,,,17.7 x 6.22 x 0.79 inches,Black,,,,,,112,,,"Lenovo, Dell, Linux, HP, Microsof Surface, Acer, Asus, Samsung, Chromebook, Alienware, Razer, LG",,,,,,,Membrane,,,"Wired Keyboard, User Guide",,,"1,186 ratings
4.5 out of 5 stars",,,,,,,,,USB,
189,"60% Mechanical Keyboard,MageGee Gaming Keyboard with Blue Switches and Sea Blue Backlit Small Compact 60 Percent Keyboard Mechanical, Portable 60 Percent Gaming Keyboard Gamer(Black Grey)",26,,,,,MageGee,,,MageGee,,,,,,,,,,,,,"Ergonomic, Backlit, Foldable",,B09FYY4J71,,,,,Metal,,,"#9,436 in Video Games (See Top 100 in Video Games)
#697 in PC Gaming Keyboards",,,,,,,"September 11, 2021",,,1.41 pounds,,,,,,12.36 x 5.24 x 1.69 inches,Black Grey Blue Switches,,,,,,61,,,,,,61,,,,Gaming,"Windows Vista, Windows XP, Mac os, Windows 2000",,,,,"77 ratings
4.5 out of 5 stars",,,,,,,,12.36 x 5.24 x 1.69 inches,,
190,"Macally Ergonomic Mac Wired Keyboard with Wrist Rest - Natural and Comfortable Typing, Compatible Apple Keyboard - Split Keyboard for Mac with 110 Keys, 21 OSX Shortcuts, and 5ft USB Cable",49,,"Wired Ergonomic Keyboard, Compatible Apple Keyboard with Numeric Keypad",,,Macally,,,Mace Group Inc / Macally Peripherals,,,,,,,,,China,,,MERGOKEY,Ergonomic,,B08FMQ5Y39,,MERGOKEY,,,,,,#319 in Computer Keyboards,,,,,,,"January 15, 2021",,,2.84 pounds,,,,,,19.88 x 11.02 x 1.77 inches,White,,,,,,110,,,"Apple Mac Pro / Mini, Macbook Pro / Air, iMac",,,,,,,"Ergonomic Keyboard, Split Keyboard",,,"Ergonomic Keyboard for Mac, User Guider",,,"460 ratings
4.2 out of 5 stars",,,,,,,,,USB,
191,"Arteck Universal Backlit 7-Colors & Adjustable Brightness Multi-Device Full Size Wireless Bluetooth Keyboard for Windows, iOS, iPad OS, Android, Computer Desktop Laptop Surface Tablet Smartphone",21,,,,,Arteck,,,Arteck,,,,,,,,,China,,,,"Backlit, Rechargeable",,B09JKDYY3B,,,,,,,,#79 in Computer Keyboards,,,17.36 x 5.83 x 0.94 inches,,,,"October 15, 2021",,,1.34 pounds,,,,,,,,,,,,,,,,"Laptop, Computer, IPad, Smartphone, Surface",,,,,,,USB-C,,,,,,"7 ratings
4.4 out of 5 stars",,,,,,,,,Bluetooth,
192,Logitech K380 Multi-Device Wireless Bluetooth Keyboard for Mac - Rose,39,,,,,Logitech,,,Logitech,,,,,,,,,China,K380 Multi-Device Bluetooth Keyboard for Mac,,920-009728,Lightweight,,B0876P8VHN,,,,,,,,#85 in Computer Keyboards,,,,,,,"July 7, 2020",,,14.1 ounces,,,,,,4.9 x 10.9 x 0.6 inches,Rose,,,,,,80,,,Tablet,,,,,,,Standalone,"Chrome OS, macOS 10.15 or later, iOS 11… See more",,,,,"2,854 ratings
4.8 out of 5 stars",,,,,,,,4.9 x 10.9 x 0.6 inches,Bluetooth,
193,"HITIME XVX M61 60% Mechanical Keyboard Wireless, Ultra-Compact 2.4G Rechargeable Gaming Keyboard, RGB Backlit Ergonomic Keyboard for Windows Mac PC Gamers(Coral Sea Theme, Gateron Yellow Switch)",,,,,,,,,HITIME,,,,,,,,,,,,,,,B09B23CX6Y,,,,,,,,"#1,589 in Video Games (See Top 100 in Video Games)
#22 in Mac Gaming Keyboards",,,,,,,"July 22, 2021",,,1.59 pounds,1 Lithium Polymer batteries required. (included),,,,,11.5 x 4 x 1.6 inches,,,,,,,,,,,,,,,,,,,,,,,"374 ratings
4.6 out of 5 stars",,,,,,,,,,
194,Wireless Keyboard and Mouse - Ergonomic Keyboard and Mouse Combo Full Size Keyboard Cordless with Palm Wrist Rest Ergonomic Mouse Wireless for Windows Computers Laptops - Black,39,,,,,PEIOUS,,,PEIOUS,,,,,,,,,China,,,,,,B09V5K7DTK,,,,,,,,#282 in Computer Keyboard & Mouse Combos,,,17.6 x 8.62 x 3.03 inches,,,,"March 9, 2022",,,2.25 pounds,,,,,,,Black Ergonomic Keyboard Mouse,,,,,,,,,,,,,,,,,Wireless Keyboard and mouse for windows,,,,"2AAA batteries required for keyboard, 2 AAA batteries required for mouse (Battery not included)",,,,,,,,,,USB Receiver,
195,Keychron K4 96% Layout 100 Keys Wireless Bluetooth 5.1/Wired USB Mechanical Gaming Keyboard with Gateron G Pro Red Switch White LED Backlight N-Key Rollover for Mac Windows PC-Version 2,79,,,,,Keychron,,,Keychron,,,,,,,,,,,,Keychron K4A1,"Wireless, Bluetooth, Lighting",,B07WVC9KSG,,,,,,,,"#2,666 in Video Games (See Top 100 in Video Games)
#35 in Mac Gaming Keyboards
#788 in PC Games & Accessories",,,,,,,"January 1, 2020",,,2.59 pounds,,,,,,14.61 x 4.88 x 1.5 inches,Gateron G Pro Red Switch,,,,,,100,,,"Laptop, PC, Tablet, Smartphone",,,,,,,"For office, home, light gaming",,,,,,"1,035 ratings
4.5 out of 5 stars",,,,,,,,14.61 x 4.88 x 1.5 inches,Bluetooth & Wired,
196,"Hureny Compressed Air Duster for Electronics Electric Air Duster USB-C Rechargeable Compressed Air Dusters, 6000mAh Powerful 50000RPM Fast Charging Cordless Air Duster Portable for Cleaning Keyboard",59,,,,,Hureny,,,Hureny,,,,,,,,,,,,TO-ILVM-J25Z,,,B09W2DXL43,,,,,,Matte Black,,"#74,578 in Office Products (See Top 100 in Office Products)
#157 in Compressed Air Dusters
#9,656 in Office Electronics Products",,,,,,,"March 21, 2022",,,1.21 pounds,3 Lithium ion batteries required.,,,Plastic,,6.8 x 4 x 2.3 inches,,,,,,,,,,,,AD-2022-03,,,,,,,,,,,"2 ratings
4.5 out of 5 stars",,,,,,,,,,
